Reference,Vaccine,Intervention_category,Country,N,Age_m,Age_formatted,N_doses,Vaccine_formatted,Study_vaccines_original,Intervention_formatted,Intervention,Control_formatted,Control,Measure_of_SC,Int_SC_n,Int_N,Int_SC_perc,Int_SC_full,Ctrl_SC_n,Ctrl_N,Ctrl_SC_perc,Ctrl_SC_full,Total,Age_group,Baseline_seroconversion,Income_setting,Income_group,SC_timing_preferred
Rongsen (2014),Rotavirus,Breastfeeding withheld,India,400,1.6,1.6,2,2x RV1,"RV1 (2 doses, 6-7w & 10-14w)",W/h BF (30m),Witholding breastfeeding (30min before & after),U/r BF,U/r BF,Rotavirus IgA AB,45,172,26%,45/172 (26%),49,184,27%,49/184 (27%),356,infant,0.266304348,lowermiddle,low_lowermiddle,1
Ahmed (Jan 2009),Cholera,Buffer,Bangladesh,176,7.5,7.5,2,2x WC-rBS,"WC-rBS (2 doses, 2w apart)",20ml buffer,Buffer (20ml) standard bicarbonate,No buffer,No buffer,Vibriocidal AB,28,49,57%,28/49 (57%),7,16,44%,7/16 (44%),65,infant,0.4375,lowermiddle,low_lowermiddle,1
Ahmed (Jan 2009),Cholera,Buffer,Bangladesh,164,14,14,2,2x WC-rBS,"WC-rBS (2 doses, 2w apart)",20ml buffer,Buffer (20ml) standard bicarbonate,No buffer,No buffer,Vibriocidal AB,27,49,55%,27/49 (55%),6,16,38%,6/16 (38%),65,child_under5y,0.375,lowermiddle,low_lowermiddle,1
Sack (1997) *,Cholera,Buffer,USA,39,Adult,Adult,1,1x OCV Peru-15,OCV Peru-15 (1 dose),150ml buffer,"Buffer (150ml) Alka-Seltzer (sodium & potassium bicarbonate, citric acid)",No buffer,Standard buffer (sodium bicarbonate + ascorbic acid),Vibriocidal AB,10,10,100%,10/10 (100%),4,9,44%,4/9 (44%),19,adult,0.444444444,high,uppermiddle_high,1
Trach (2002),Cholera,Buffer,Vietnam,143,251,Adult,2,2x biv-WC,"biv-WC (2 doses, 2w apart)",150ml buffer,Buffer (150ml) - sodium bicarbonate,No buffer,No buffer,Vibriocidal AB,20,35,57%,20/35 (57%),19,35,54%,19/35 (54%),70,adult,0.542857143,lowermiddle,low_lowermiddle,1
Chandir (2014),Polio,Buffer,Bangladesh,300,6.3*,6.3,3,3x tOPV,"tOPV (6,10,14w as per EPI)",5ml buffer,Buffer (5ml) sodium bicarboate + citrate at pH 8.86,No buffer,No buffer,OPV1 N-AB,125,132,95%,125/132 (95%),114,129,88%,114/129 (88%),261,infant,0.88372093,lowermiddle,low_lowermiddle,1
Chandir (2014),Polio,Buffer,Bangladesh,300,6.3*,6.3,3,3x tOPV,"tOPV (6,10,14w as per EPI)",5ml buffer,Buffer (5ml) sodium bicarboate + citrate at pH 8.86,No buffer,No buffer,OPV2 N-AB,126,132,95%,126/132 (95%),125,129,97%,125/129 (97%),261,infant,0.968992248,lowermiddle,low_lowermiddle,1
Chandir (2014),Polio,Buffer,Bangladesh,300,6.3*,6.3,3,3x tOPV,"tOPV (6,10,14w as per EPI)",5ml buffer,Buffer (5ml) sodium bicarboate + citrate at pH 8.86,No buffer,No buffer,OPV3 N-AB,119,132,90%,119/132 (90%),115,129,89%,115/129 (89%),261,infant,0.891472868,lowermiddle,low_lowermiddle,1
Ceyhan (1993),Rotavirus,Buffer,Turkey,205,1.0 - 3.0,1--3,1,1x RRV-TV,RRV-TV (1 dose),30ml buffer,Buffer (30ml) soya milk + 400mg sodium bicarbonate,No buffer,No buffer,Rotavirus IgA AB,60,92,65%,60/92 (65%),63,102,62%,63/102 (62%),194,infant,0.617647059,uppermiddle,uppermiddle_high,1
Clark (2003),Rotavirus,Buffer,USA,731,2.0 - 4.0,2--4,3,3x HRRV,"HRRV (3 doses, 42-56d apart)",1ml buffer,Concentrated buffer (1ml) sodium phosphate + citrate,No buffer,No buffer,Rotavirus IgA AB,96,108,89%,96/108 (89%),107,119,90%,107/119 (90%),227,infant,0.899159664,high,uppermiddle_high,1
Ing (1991) *,Rotavirus,Buffer,USA,174,1.75 - 4.0,1.8--4,1,1x RRV-TV,RRV-TV (1 dose),25ml buffer,Buffer (25ml) sodium bicarbonate + soyabean formula,No buffer,No buffer,Rotavirus IgA AB,23,47,49%,23/47 (49%),10,44,23%,10/44 (23%),91,infant,0.227272727,high,uppermiddle_high,0
Kerdpanich (2010),Rotavirus,Buffer,Thailand,450,2.2,2.2,2,2x RV1,"RV1 (2 doses, 2m apart)",1ml buffer,Buffer (1ml) water + calcium carbonate,No buffer,No buffer,Rotavirus IgA AB,133,157,85%,133/157 (85%),121,154,79%,121/154 (79%),311,infant,0.785714286,uppermiddle,uppermiddle_high,0
Ali (2014),Rotavirus,Delayed first dose,Pakistan,630,1.4,1.4,2,2x RV1,RV1 (2 doses),"Late (10,14w)",Late (10 & 14w),"Std (6,10w)",Std (6 & 10w),Rotavirus IgA AB,60,156,38%,60/156 (38%),46,155,30%,46/155 (30%),311,infant,0.296774194,lowermiddle,low_lowermiddle,1
Anh (2011),Rotavirus,Delayed first dose,Phillippines,375,2,2,2,2x RV1,RV1 (2 doses) ,"Late (11,15w)",Late (11 & 15w),"Std (7,15w)",Std (7 & 15w),Rotavirus IgA AB,84,120,70%,84/120 (70%),71,120,59%,71/120 (59%),240,infant,0.591666667,lowermiddle,low_lowermiddle,1
Armah (2016),Rotavirus,Delayed first dose,Ghana,456,1.4,1.4,2,2x RV1,RV1 (2 doses),"Late (10,14w)",Late (10 & 14w),"Std (6,10w)",Std (6 & 10w),Rotavirus IgA AB,52,139,37%,52/139 (37%),29,142,20%,29/142 (20%),281,infant,0.204225352,lowermiddle,low_lowermiddle,1
Steele (2010) *,Rotavirus,Delayed first dose,South Africa,150,1.5,1.5,2,2x RV1 + OPV,RV1 (2 doses),"Late (10,14w)",Late (10 & 14w),"Std (6,10w)",Std (6 & 10w),Rotavirus IgA AB,30,49,61%,30/49 (61%),24,67,36%,24/67 (36%),116,infant,0.358208955,uppermiddle,uppermiddle_high,1
Steele (2010) *,Rotavirus,Delayed first dose,South Africa,150,1.5,1.5,2,2x RV1 + IPV,RV1 (2 doses),"Late (10,14w)",Late (10 & 14w),"Std (6,10w)",Std (6 & 10w),Rotavirus IgA AB,28,51,55%,28/51 (55%),28,65,43%,28/65 (43%),116,infant,0.430769231,uppermiddle,uppermiddle_high,1
DeXiang (1986),Polio,Extra dose at birth,China,400,0.1,0.1,NA,tOPV,"tOPV (0,2,3,4m or 2,3,4m)",4 doses,Four doses,3 doses,3 doses,OPV1 N-AB,106,107,99%,106/107 (99%),107,107,100%,107/107 (100%),214,infant,1,uppermiddle,uppermiddle_high,1
DeXiang (1986),Polio,Extra dose at birth,China,400,0.1,0.1,NA,tOPV,"tOPV (0,2,3,4m or 2,3,4m)",4 doses,Four doses,3 doses,3 doses,OPV2 N-AB,107,107,100%,107/107 (100%),105,107,98%,105/107 (98%),214,infant,0.981308411,uppermiddle,uppermiddle_high,1
DeXiang (1986),Polio,Extra dose at birth,China,400,0.1,0.1,NA,tOPV,"tOPV (0,2,3,4m or 2,3,4m)",4 doses,Four doses,3 doses,3 doses,OPV3 N-AB,107,107,100%,107/107 (100%),106,107,99%,106/107 (99%),214,infant,0.990654206,uppermiddle,uppermiddle_high,1
Jain (1997),Polio,Extra dose at birth,India,150,0,0,NA,tOPV,"tOPV (0,6,10,14w or 6,10,14w)",4 doses,Four doses,3 doses,3 doses,OPV1 N-AB,23,25,92%,23/25 (92%),17,30,57%,17/30 (57%),55,infant,0.566666667,lowermiddle,low_lowermiddle,0
Jain (1997),Polio,Extra dose at birth,India,150,0,0,NA,tOPV,"tOPV (0,6,10,14w or 6,10,14w)",4 doses,Four doses,3 doses,3 doses,OPV2 N-AB,22,25,88%,22/25 (88%),23,30,77%,23/30 (77%),55,infant,0.766666667,lowermiddle,low_lowermiddle,0
Jain (1997),Polio,Extra dose at birth,India,150,0,0,NA,tOPV,"tOPV (0,6,10,14w or 6,10,14w)",4 doses,Four doses,3 doses,3 doses,OPV3 N-AB,18,25,72%,18/25 (72%),14,30,47%,14/30 (47%),55,infant,0.466666667,lowermiddle,low_lowermiddle,0
Khare (1993),Polio,Extra dose at birth,India,87,0,0,NA,tOPV,"tOPV (0,6,10,14w or 6,10,14w)",4 doses,Four doses,3 doses,3 doses,OPV1 N-AB,26,30,87%,26/30 (87%),37,41,90%,37/41 (90%),71,infant,0.902439024,lowermiddle,low_lowermiddle,1
Khare (1993),Polio,Extra dose at birth,India,87,0,0,NA,tOPV,"tOPV (0,6,10,14w or 6,10,14w)",4 doses,Four doses,3 doses,3 doses,OPV2 N-AB,27,30,90%,27/30 (90%),34,41,83%,34/41 (83%),71,infant,0.829268293,lowermiddle,low_lowermiddle,1
Khare (1993),Polio,Extra dose at birth,India,87,0,0,NA,tOPV,"tOPV (0,6,10,14w or 6,10,14w)",4 doses,Four doses,3 doses,3 doses,OPV3 N-AB,26,30,87%,26/30 (87%),32,41,78%,32/41 (78%),71,infant,0.780487805,lowermiddle,low_lowermiddle,1
Osei-Kwasi (1995),Polio,Extra dose at birth,Ghana,452,0,0,NA,tOPV,"tOPV (0,6,10,14w or 6,10,14w)",4 doses,Four doses,3 doses,3 doses,OPV1 N-AB,167,200,84%,167/200 (84%),147,196,75%,147/196 (75%),396,infant,0.75,lowermiddle,low_lowermiddle,1
Osei-Kwasi (1995),Polio,Extra dose at birth,Ghana,452,0,0,NA,tOPV,"tOPV (0,6,10,14w or 6,10,14w)",4 doses,Four doses,3 doses,3 doses,OPV2 N-AB,182,200,91%,182/200 (91%),163,196,83%,163/196 (83%),396,infant,0.831632653,lowermiddle,low_lowermiddle,1
Osei-Kwasi (1995),Polio,Extra dose at birth,Ghana,452,0,0,NA,tOPV,"tOPV (0,6,10,14w or 6,10,14w)",4 doses,Four doses,3 doses,3 doses,OPV3 N-AB,166,200,83%,166/200 (83%),155,196,79%,155/196 (79%),396,infant,0.790816327,lowermiddle,low_lowermiddle,1
Weckx (1992),Polio,Extra dose at birth,Brazil,85,0,0,NA,tOPV,"tOPV (0,2,4,9m or 2,4,9m)",4 doses,Four doses,3 doses,3 doses,OPV1 N-AB,27,27,100%,27/27 (100%),26,27,96%,26/27 (96%),54,infant,0.962962963,uppermiddle,uppermiddle_high,0
Weckx (1992),Polio,Extra dose at birth,Brazil,85,0,0,NA,tOPV,"tOPV (0,2,4,9m or 2,4,9m)",4 doses,Four doses,3 doses,3 doses,OPV2 N-AB,27,27,100%,27/27 (100%),27,27,100%,27/27 (100%),54,infant,1,uppermiddle,uppermiddle_high,0
Weckx (1992),Polio,Extra dose at birth,Brazil,85,0,0,NA,tOPV,"tOPV (0,2,4,9m or 2,4,9m)",4 doses,Four doses,3 doses,3 doses,OPV3 N-AB,26,27,96%,26/27 (96%),20,27,74%,20/27 (74%),54,infant,0.740740741,uppermiddle,uppermiddle_high,0
Bines (2015),Rotavirus,Extra dose at birth,New Zealand,96,0.1,0.1,NA,RV3-BB,"RV3-BB (0,6,10w or 6 & 10w)",3 doses,Three doses,2 doses,2 doses,Rotavirus IgA AB,18,26,69%,18/26 (69%),15,20,75%,15/20 (75%),46,infant,0.75,high,uppermiddle_high,1
Su-Arehawaratana (1992),Cholera,Extra dose(s),Thailand,120,Adult,Adult,NA,CVD103-HgR,CVD 103-HgR (doses 1w apart),2 doses,Two doses,1 dose,1 dose,Vibriocidal AB,23,40,58%,23/40 (58%),17,40,43%,17/40 (43%),80,adult,0.425,uppermiddle,uppermiddle_high,1
Jhala (1981),Polio,Extra dose(s),India,87,3.0 - 36,3--36,NA,tOPV,tOPV (doses 6-8w apart),<=6 doses,Up to six doses,3 doses,3 doses,OPV1 N-AB,23,23,100%,23/23 (100%),67,87,77%,67/87 (77%),110,multiple,0.770114943,lowermiddle,low_lowermiddle,0
Jhala (1981),Polio,Extra dose(s),India,87,3.0 - 36,3--36,NA,tOPV,tOPV (doses 6-8w apart),<=6 doses,Up to six doses,3 doses,3 doses,OPV2 N-AB,20,23,87%,20/23 (87%),63,87,72%,63/87 (72%),110,multiple,0.724137931,lowermiddle,low_lowermiddle,0
Jhala (1981),Polio,Extra dose(s),India,87,3.0 - 36,3--36,NA,tOPV,tOPV (doses 6-8w apart),<=6 doses,Up to six doses,3 doses,3 doses,OPV3 N-AB,20,23,87%,20/23 (87%),49,87,56%,49/87 (56%),110,multiple,0.563218391,lowermiddle,low_lowermiddle,0
Ali (2014),Rotavirus,Extra dose(s),Pakistan,630,1.4,1.4,NA,RV1,"RV1 (6,10,14 or 6,10w)",6/10/14w,Three doses,10/14w *,2 doses,Rotavirus IgA AB,62,169,37%,62/169 (37%),60,156,39%,60/156 (39%),325,infant,0.384615385,lowermiddle,low_lowermiddle,1
Armah (2016),Rotavirus,Extra dose(s),Ghana,456,1.4,1.4,NA,RV1,"RV1 (6,10,14 or 6,10w)",6/10/14w,Three doses,10/14w *,2 doses,Rotavirus IgA AB,62,143,43%,62/143 (43%),52,139,37%,52/139 (37%),282,infant,0.374100719,lowermiddle,low_lowermiddle,1
Kompithra (2014),Rotavirus,Extra dose(s),India,90,1.4-1.6,1.4--1.6,NA,RV1,"RV1 (6,10,14,18,22 or 6,10,14w)",6/10/14/18/22w,Five doses,6/10/14w,3 doses,Rotavirus IgA AB,12,44,27%,12/44 (27%),15,44,34%,15/44 (34%),88,infant,0.340909091,lowermiddle,low_lowermiddle,1
Lanata (1989),Rotavirus,Extra dose(s),Peru,423,2.0 -18.0,2--18,NA,RIT4237,RIT4237 (doses 1m apart),3 doses,Three doses,1 dose,1 dose,Rotavirus CF AB,10,71,14%,10/71 (14%),20,75,27%,20/75 (27%),146,multiple,0.266666667,uppermiddle,uppermiddle_high,1
Madhi (2010) *,Rotavirus,Extra dose(s),Malawi,1773,1.4,1.4,NA,RV1,"RV1 (6,10,14 or 10,14w)",6/10/14w,Three doses,10/14w,2 doses,Rotavirus IgA AB,24,42,57%,24/42 (57%),20,42,47%,20/42 (47%),84,infant,0.476190476,low,low_lowermiddle,1
Madhi (2010) *,Rotavirus,Extra dose(s),South Africa,1339,1.4,1.4,NA,RV1,"RV1 (6,10,14 or 10,14w)",6/10/14w,Three doses,10/14w,2 doses,Rotavirus IgA AB,44,66,67%,44/66 (67%),40,70,57%,40/70 (57%),136,infant,0.571428571,uppermiddle,uppermiddle_high,1
Steele (JID 2010),Rotavirus,Extra dose(s),South Africa,475,1.6,1.6,NA,RV1,"RV1 (6,10,14 or 6,10w)",6/10/14w,Three doses,10/14w,2 doses,Rotavirus IgA AB,59,133,44%,59/133 (44%),58,131,44%,58/131 (44%),264,infant,0.442748092,uppermiddle,uppermiddle_high,1
Gotuzzo (1993),Cholera,Increased vaccine inoculum,Peru,122,314.4,Adult,1,1x CVD103-HgR,CVD103-HgR (1 dose),High (10^9),High potency,Std (10^8),Low potency,Vibriocidal AB,28,39,72%,28/39 (72%),19,39,49%,19/39 (49%),78,adult,0.487179487,uppermiddle,uppermiddle_high,0
Sow (2017),Cholera,Increased vaccine inoculum,Mali,150,Adult,Adult,1,1x CVD103-HgR,CVD103-HgR (1 dose),High (2x10^9),High potency,Std (2x10^8),Standard potency,Vibriocidal AB,40,48,83%,40/48 (83%),33,46,72%,33/46 (72%),94,adult,0.717391304,low,low_lowermiddle,1
Su-Arehawaratana (1992),Cholera,Increased vaccine inoculum,Thailand,120,Adult,Adult,1,1x CVD103-HgR,CVD103-HgR (1 dose),High (5x10^9),High potency,Std (5x10^8),Standard potency,Vibriocidal AB,17,40,43%,17/40 (43%),13,39,33%,13/39 (33%),79,adult,0.333333333,uppermiddle,uppermiddle_high,1
Suharyono (1992),Cholera,Increased vaccine inoculum,Indonesia,140,60 - 108,60--108,1,1x CVD103-HgR,CVD103-HgR (1 dose),High (10^10) (c),High potency - centrifuged,Std (5x10^9),Standard potency,Vibriocidal AB,30,33,91%,30/33 (91%),27,31,87%,27/31 (87%),64,child_over5y,0.870967742,lowermiddle,low_lowermiddle,1
Suharyono (1992),Cholera,Increased vaccine inoculum,Indonesia,140,60 - 108,60--108,1,1x CVD103-HgR,CVD103-HgR (1 dose),High (10^10) (f),High potency - centrifuged,Std (5x10^9),Standard potency,Vibriocidal AB,26,32,81%,26/32 (81%),21,28,75%,21/28 (75%),60,child_over5y,0.75,lowermiddle,low_lowermiddle,1
Agarwal (1991),Polio,Increased vaccine inoculum,India,148,6.0 - 12.0,6--12,3,3x tOPV,"tOPV (3 doses, 4-6w apart)",High (0.2ml),High potency i.e. double standard amount (0.2ml),Std (0.1ml),Standard potency i.e. standard amount (0.1ml),OPV1 N-AB,27,35,77%,27/35 (77%),27,42,64%,27/42 (64%),77,infant,0.642857143,lowermiddle,low_lowermiddle,0
Agarwal (1991),Polio,Increased vaccine inoculum,India,148,6.0 - 12.0,6--12,3,3x tOPV,"tOPV (3 doses, 4-6w apart)",High (0.2ml),High potency i.e. double standard amount (0.2ml),Std (0.1ml),Standard potency i.e. standard amount (0.1ml),OPV2 N-AB,28,35,80%,28/35 (80%),34,42,81%,34/42 (81%),77,infant,0.80952381,lowermiddle,low_lowermiddle,0
Agarwal (1991),Polio,Increased vaccine inoculum,India,148,6.0 - 12.0 ,6--12,3,3x tOPV,"tOPV (3 doses, 4-6w apart)",High (0.2ml),High potency i.e. double standard amount (0.2ml),Std (0.1ml),Standard potency i.e. standard amount (0.1ml),OPV3 N-AB,21,35,60%,21/35 (60%),24,42,57%,24/42 (57%),77,infant,0.571428571,lowermiddle,low_lowermiddle,0
Chopra (1989),Polio,Increased vaccine inoculum,India,104,1.0 - 12.0,1--12,5,5x tOPV,"tOPV (5 doses, 4w apart)",High (0.4ml),High potency i.e. 0.4ml (10 drops),Std (0.2ml),Standard potency i.e. 0.2ml (5 drops),OPV1 N-AB,25,28,89%,25/28 (89%),30,34,88%,30/34 (88%),62,infant,0.882352941,lowermiddle,low_lowermiddle,1
Chopra (1989),Polio,Increased vaccine inoculum,India,104,1.0 - 12.0,1--12,5,5x tOPV,"tOPV (5 doses, 4w apart)",High (0.4ml),High potency i.e. 0.4ml (10 drops),Std (0.2ml),Standard potency i.e. 0.2ml (5 drops),OPV2 N-AB,26,28,93%,26/28 (93%),32,34,94%,32/34 (94%),62,infant,0.941176471,lowermiddle,low_lowermiddle,1
Chopra (1989),Polio,Increased vaccine inoculum,India,104,1.0 - 12.0,1--12,5,5x tOPV,"tOPV (5 doses, 4w apart)",High (0.4ml),High potency i.e. 0.4ml (10 drops),Std (0.2ml),Standard potency i.e. 0.2ml (5 drops),OPV3 N-AB,27,28,96%,27/28 (96%),33,34,97%,33/34 (97%),62,infant,0.970588235,lowermiddle,low_lowermiddle,1
Estivariz (2012),Polio,Increased vaccine inoculum,India,1002,7,7,1,1x mOPV1,mOPV1 (1 dose),High (10^6.8),High potency,Std (10^6.15),Standard potency = 10^6.15 TCID Sabin1,OPV1 N-AB,7,22,32%,7/22 (32%),5,14,36%,5/14 (36%),36,infant,0.357142857,lowermiddle,low_lowermiddle,1
Jhala (1981),Polio,Increased vaccine inoculum,India,87,3.0 - 36,3--36,3,3x tOPV,"tOPV (3 doses, 6-8w apart)",High (0.4ml),High potency i.e. 0.4ml (10 drops),Std (0.2ml),Single dose,OPV1 N-AB,22,25,88%,22/25 (88%),67,87,77%,67/87 (77%),112,multiple,0.770114943,lowermiddle,low_lowermiddle,0
Jhala (1981),Polio,Increased vaccine inoculum,India,87,3.0 - 36,3--36,3,3x tOPV,"tOPV (3 doses, 6-8w apart)",High (0.4ml),High potency i.e. 0.4ml (10 drops),Std (0.2ml),Single dose,OPV2 N-AB,20,25,80%,20/25 (80%),63,87,72%,63/87 (72%),112,multiple,0.724137931,lowermiddle,low_lowermiddle,0
Jhala (1981),Polio,Increased vaccine inoculum,India,87,3.0 - 36,3--36,3,3x tOPV,"tOPV (3 doses, 6-8w apart)",High (0.4ml),High potency i.e. 0.4ml (10 drops),Std (0.2ml),Single dose,OPV3 N-AB,14,25,56%,14/25 (56%),49,87,56%,49/87 (56%),112,multiple,0.563218391,lowermiddle,low_lowermiddle,0
John (2011),Polio,Increased vaccine inoculum,India,718,0,0,2,2x mOPV1,"mOPV1 (2 doses, 0 & 1m)",High (10^6.7),High potency,Std (10^6),Standard potency,OPV1 N-AB,130,144,90%,130/144 (90%),132,146,90%,132/146 (90%),290,infant,0.904109589,lowermiddle,low_lowermiddle,1
Patriarca (1988),Polio,Increased vaccine inoculum,Brazil,734,9.6,9.6,1,1x tOPV,tOPV (1 dose),High (10^6),High potency,Std (10^6),Standard potency,OPV1 N-AB,22,44,50%,22/44 (50%),19,35,54%,19/35 (54%),79,infant,0.542857143,uppermiddle,uppermiddle_high,0
Patriarca (1988),Polio,Increased vaccine inoculum,Brazil,734,9.6,9.6,1,1x tOPV,tOPV (1 dose),High (10^5),High potency,Std (10^5),Standard potency,OPV2 N-AB,14,23,61%,14/23 (61%),13,22,59%,13/22 (59%),45,infant,0.590909091,uppermiddle,uppermiddle_high,0
Patriarca (1988),Polio,Increased vaccine inoculum,Brazil,734,9.6,9.6,1,1x tOPV,tOPV (1 dose),High (6x10^5),High potency,Std (3x10^5),Standard potency,OPV3 N-AB,31,73,42%,31/73 (42%),13,83,16%,13/83 (16%),156,infant,0.156626506,uppermiddle,uppermiddle_high,0
WHO (1995a),Polio,Increased vaccine inoculum,Brazil,1395,0,0,4,4x tOPV,"tOPV (four doses, 0,6,10,14w)",High (2x10^6),High potency,Std (1x10^6),Standard potency Sabin 1&3,OPV1 N-AB,179,195,92%,179/195 (92%),148,176,84%,148/176 (84%),371,infant,0.840909091,uppermiddle,uppermiddle_high,1
WHO (1995a),Polio,Increased vaccine inoculum,Brazil,1395,0,0,4,4x tOPV,"tOPV (four doses, 0,6,10,14w)",High (6x10^5),High potency,Std (3x10^5),Standard potency Sabin 1&3,OPV3 N-AB,125,195,64%,125/195 (64%),111,176,63%,111/176 (63%),371,infant,0.630681818,uppermiddle,uppermiddle_high,1
WHO (1995b),Polio,Increased vaccine inoculum,Gambia,1087,0 - 1.5,0--1.5,4,4x tOPV,"tOPV (four doses, 2,8,16,21w)",High (2x10^6),High potency,Std (1x10^6),Standard potency Sabin 1&3,OPV1 N-AB,150,161,93%,150/161 (93%),124,159,78%,124/159 (78%),320,infant,0.779874214,low,low_lowermiddle,1
WHO (1995b),Polio,Increased vaccine inoculum,Gambia,1087,0 - 1.5,0--1.5,4,4x tOPV,"tOPV (four doses, 2,8,16,21w)",High (6x10^5),High potency,Std (3x10^5),Standard potency Sabin 1&3,OPV3 N-AB,115,161,71%,115/161 (71%),111,159,70%,111/159 (70%),320,infant,0.698113208,low,low_lowermiddle,1
Cohen-Abbo (1995),Polio,Narrow dose interval,USA,108,6.0 - 10.0,6--10,3,3x tOPV,tOPV,4w interval,Three doses - short interval (1m apart),8w interval,Wide (8w),OPV1 N-AB,26,26,100%,26/26 (100%),24,25,96%,24/25 (96%),51,infant,0.96,high,uppermiddle_high,1
Cohen-Abbo (1995),Polio,Narrow dose interval,USA,108,6.0 - 10.0,6--10,3,3x tOPV,tOPV,4w interval,Three doses - short interval (1m apart),8w interval,Wide (8w),OPV2 N-AB,25,25,100%,25/25 (100%),25,25,100%,25/25 (100%),50,infant,1,high,uppermiddle_high,1
Cohen-Abbo (1995),Polio,Narrow dose interval,USA,108,6.0 - 10.0,6--10,3,3x tOPV,tOPV,4w interval,Three doses - short interval (1m apart),8w interval,Wide (8w),OPV3 N-AB,25,26,96%,25/26 (96%),25,25,100%,25/25 (100%),51,infant,1,high,uppermiddle_high,1
Estivariz (2015),Polio,Narrow dose interval,Bangladesh,1000,1.4,1.4,3,3x bOPV,bOPV,2w interval,Three doses - short interval (2w apart),4w interval,Wide (4w),OPV1 N-AB,183,186,98%,183/186 (98%),179,184,97%,179/184 (97%),370,infant,0.972826087,lowermiddle,low_lowermiddle,0
